,puzzle number,algorithm,heuristic,length of the search path,length of the solution,Execution time (seconds)
48,game24,A*,h4,2.0,2.0,0.004781
49,game46,gbfs,h2,7.0,5.0,0.009568
50,game16,ucs,NA,90.0,5.0,0.032106
51,game24,A*,h2,1.0,2.0,0.003677
52,game14,gbfs,h2,61.0,10.0,0.083143
53,game24,ucs,NA,4.0,2.0,0.001601
54,game14,A*,h5,458.0,4.0,2.153237
55,game28,gbfs,h5,1.0,1.0,0.004736
56,game35,ucs,NA,4.0,2.0,0.001706
57,game7,A*,h3,1.0,2.0,0.004223
58,game50,gbfs,h1,0.0,1.0,0.002936
59,game38,ucs,NA,5.0,2.0,0.00216
60,game7,A*,h1,1.0,2.0,0.004221
61,game37,gbfs,h3,2.0,3.0,0.005382
62,game50,ucs,NA,0.0,1.0,0.001776
63,game35,A*,h3,1.0,2.0,0.004228
64,game48,gbfs,h1,1.0,2.0,0.001108
65,game4,ucs,NA,46.0,3.0,0.009194
66,game28,A*,h4,1.0,1.0,0.005003
67,game24,gbfs,h4,2.0,2.0,0.00479
68,game5,ucs,NA,19.0,3.0,0.004648
69,game44,A*,h3,9.0,3.0,0.011312
70,game48,gbfs,h3,1.0,2.0,0.001378
71,game14,ucs,NA,457.0,4.0,0.260633
72,game24,A*,h5,6.0,2.0,0.007874
73,game5,gbfs,h5,8.0,3.0,0.010429
74,game10,ucs,NA,7905.0,15.0,67.990826
75,game27,A*,h5,921.0,9.0,30.319006
76,game37,gbfs,h1,2.0,3.0,0.005615
77,game44,ucs,NA,13.0,3.0,0.003252
78,game2,A*,h4,62.0,8.0,0.070256
79,game18,gbfs,h3,9.0,5.0,0.012827
80,game12,ucs,NA,40.0,3.0,0.008057
81,game3,A*,h2,5433.0,12.0,847.379977
82,game26,gbfs,h3,0.0,1.0,0.002799
83,game28,ucs,NA,0.0,1.0,0.00145
84,game9,A*,h5,48.0,3.0,0.070996
85,game24,gbfs,h3,1.0,2.0,0.003702
86,game46,ucs,NA,107.0,5.0,0.03367
87,game1,A*,h3,12.0,6.0,0.005127
88,game4,gbfs,h3,2.0,3.0,0.006618
89,game1,ucs,NA,1008.0,5.0,0.406625
90,game42,A*,h1,20.0,6.0,0.01173
91,game42,gbfs,h1,15.0,7.0,0.007341
92,game49,ucs,NA,53.0,4.0,0.030447
93,game5,A*,h3,3.0,3.0,0.005767
94,game4,gbfs,h4,4.0,4.0,0.010302
95,game37,ucs,NA,31.0,3.0,0.005864
96,game13,A*,h3,32.0,5.0,0.048734
97,game19,gbfs,h3,1.0,2.0,0.004532
98,game38,A*,h3,1.0,2.0,0.00471
99,game2,gbfs,h3,17.0,8.0,0.01738
100,game48,A*,h1,1.0,2.0,0.001128
101,game1,gbfs,h2,7.0,6.0,0.004089
102,game18,A*,h1,16.0,4.0,0.024317
103,game35,gbfs,h4,2.0,2.0,0.005518
104,game11,A*,h2,1.0,2.0,0.004723
105,game14,gbfs,h5,129.0,16.0,0.1853
106,game2,A*,h1,133.0,7.0,0.217991
107,game28,gbfs,h1,0.0,1.0,0.002934
108,game3,A*,h5,6540.0,12.0,981.207716
109,game9,gbfs,h3,2.0,3.0,0.005783
110,game16,A*,h1,20.0,5.0,0.021183
